type	rank	popularity	fpid	kind	name
a	611	0.0364	9780134436555	book	Brad Edgeworth
a	611	0.0364	9780134436555	book	Vinit Jain
f	612	0.0364	9780134670584	book	IPv6 Fundamentals: A Straightforward Approach to Understanding IPv6, 2nd Edition
a	612	0.0364	9780134670584	book	Rick Graziani
f	613	0.0363	9780470920411	book	Implementing SSL/TLS Using Cryptography and PKI
a	613	0.0363	9780470920411	book	Joshua Davies
f	614	0.0362	9780134392974	book	VCP6-DCV Official Cert Guide (Covering Exam #2VO-621), Third Edition
a	614	0.0362	9780134392974	book	John A. Davis
a	614	0.0362	9780134392974	book	Owen Thomas
a	614	0.0362	9780134392974	book	Steve Baca
f	615	0.0362	9781449357337	book	Python Cookbook, 3rd Edition
a	615	0.0362	9781449357337	book	Brian K. Jones
a	615	0.0362	9781449357337	book	David Beazley
f	616	0.0362	0636920073925	olt	Introduction to TensorFlow
a	616	0.0362	0636920073925	olt	Aurélien Géron
f	617	0.0362	9781935182443	book	Groovy in Action, Second Edition
a	617	0.0362	9781935182443	book	Dierk König
a	617	0.0362	9781935182443	book	Paul King with Guillaume Laforge
a	617	0.0362	9781935182443	book	Hamlet D'Arcy
a	617	0.0362	9781935182443	book	Cedric Champeau
a	617	0.0362	9781935182443	book	Erik Pragt
a	617	0.0362	9781935182443	book	Jon Skeet
f	618	0.0362	9780134465951	video	Computer Science
a	618	0.0362	9780134465951	video	Robert Sedgewick
f	619	0.0361	velocity262	conf	O'Reilly Velocity Conference in New York 2017
f	620	0.0361	9780789742650	video	ITIL V3 Foundation Exam Video Mentor
a	620	0.0361	9780789742650	video	Jill Knapp
f	621	0.0360	9781771373470	video	Learning Data Structures and Algorithms
a	621	0.0360	9781771373470	video	Rod Stephens
f	622	0.0359	9781788292795	video	AWS Certified Solutions Architect  - Associate Tutorial - Step 3
a	622	0.0359	9781788292795	video	Raluca Bolovan
f	623	0.0358	1587051974	book	MPLS Fundamentals
a	623	0.0358	1587051974	book	Luc De Ghein - CCIE No. 1897
f	624	0.0358	9781509304837	book	Exam Ref 70-346 Managing Office 365 Identities and Requirements, 2nd Edition
a	624	0.0358	9781509304837	book	Orin Thomas
f	625	0.0357	9781509302598	book	Adaptive Code: Agile coding with design patterns and SOLID principles, Second Edition
a	625	0.0357	9781509302598	book	Gary McLean Hall
